loan_id,account_id,amount,duration,payments,status,Date
5301,1698,141948,36,3943,Running Contract,2019-07-06
7034,10001,19044,36,529,Running Contract,2019-07-11
6751,8680,85716,36,2381,Running Contract,2019-07-14
6667,8127,155880,24,6495,Contract Finished,2019-07-15
6130,5541,32640,48,680,Running Contract,2019-07-18
5429,2268,20196,36,561,Running Contract,2019-07-18
5725,3679,444864,48,9268,Running Contract,2019-07-23
6019,5033,11400,12,950,Contract Finished,2019-07-25
6421,6985,96768,36,2688,Running Contract,2019-07-25
6992,9790,133968,48,2791,Running Contract,2019-07-27
5136,846,187104,24,7796,Contract Finished,2019-07-28
5337,1886,162468,36,4513,Running Contract,2019-07-31
5495,2580,89340,60,1489,Running Contract,2019-08-02
7013,9928,89340,60,1489,Running Contract,2019-08-02
6012,4994,258444,36,7179,Running Contract,2019-08-03
6471,7184,155640,24,6485,Contract Finished,2019-08-04
6296,6358,270384,48,5633,Running Contract,2019-08-06
7305,11359,54024,12,4502,Contract Finished,2019-08-06
6144,5593,44376,12,3698,Contract Finished,2019-08-09
6283,6289,85632,48,1784,Running Contract,2019-08-11
7246,11054,148920,60,2482,Running Contract,2019-08-20
5088,544,91152,24,3798,Contract Finished,2019-08-22
5988,4851,141648,24,5902,Contract Finished,2019-08-22
5282,1583,388512,48,8094,Client in debt,2019-08-24
5938,4650,402000,60,6700,Running Contract,2019-08-25
5606,3084,253512,36,7042,Client in debt,2019-08-28
5385,2143,71460,36,1985,Running Contract,2019-09-09
6865,9199,29448,12,2454,Loan not payed,2019-09-11
5586,2994,48744,36,1354,Running Contract,2019-09-14
6302,6397,181020,60,3017,Running Contract,2019-09-16
7194,10762,68832,36,1912,Running Contract,2019-09-17
6461,7136,74124,36,2059,Running Contract,2019-09-19
6732,8533,174048,48,3626,Running Contract,2019-09-19
6613,7926,84120,24,3505,Contract Finished,2019-09-22
7036,10019,194940,36,5415,Running Contract,2019-09-25
5897,4476,15192,24,633,Contract Finished,2019-09-25
6995,9814,96168,12,8014,Contract Finished,2019-09-26
5415,2236,139464,36,3874,Client in debt,2019-09-26
7136,10436,54396,36,1511,Running Contract,2019-09-28
7271,11186,392460,60,6541,Running Contract,2019-10-02
5375,2106,101520,12,8460,Contract Finished,2019-10-03
5635,3230,77184,36,2144,Running Contract,2019-10-04
6817,9024,70656,48,1472,Running Contract,2019-10-04
5923,4585,64656,48,1347,Running Contract,2019-10-10
5329,1862,396120,60,6602,Running Contract,2019-10-16
6644,8039,93600,24,3900,Contract Finished,2019-10-20
6354,6688,22968,36,638,Running Contract,2019-10-23
5082,501,262980,60,4383,Running Contract,2019-10-24
6585,7795,372120,60,6202,Running Contract,2019-10-29
6921,9422,86184,12,7182,Contract Finished,2019-10-29
5366,2062,86184,12,7182,Contract Finished,2019-10-29
5886,4447,192744,36,5354,Running Contract,2019-10-31
5741,3754,68544,24,2856,Contract Finished,2019-11-03
4996,132,88440,12,7370,Contract Finished,2019-11-06
6015,5001,110112,24,4588,Contract Finished,2019-11-09
6309,6434,110136,24,4589,Contract Finished,2019-11-11
6073,5263,276300,60,4605,Running Contract,2019-11-12
6006,4948,359760,60,5996,Running Contract,2019-11-15
5611,3115,321180,60,5353,Running Contract,2019-11-15
6944,9548,46176,48,962,Running Contract,2019-11-15
7101,10297,421008,48,8771,Running Contract,2019-11-18
6599,7859,72120,12,6010,Contract Finished,2019-11-19
6940,9510,228276,36,6341,Running Contract,2019-11-22
5209,1250,182640,48,3805,Running Contract,2019-11-25
5388,2153,61560,12,5130,Contract Finished,2019-11-28
6011,4981,179328,48,3736,Running Contract,2019-11-28
5591,3021,155616,48,3242,Running Contract,2019-12-04
7154,10520,417600,60,6960,Running Contract,2019-12-05
7130,10411,123408,24,5142,Contract Finished,2019-12-11
6818,9030,155616,48,3242,Running Contract,2019-12-12
5625,3189,222180,60,3703,Client in debt,2019-12-15
6805,8972,45024,48,938,Running Contract,2019-12-21
7233,10963,115812,36,3217,Running Contract,2019-12-25
7308,11362,129408,24,5392,Contract Finished,2019-12-27
5895,4473,93960,60,1566,Running Contract,2020-01-03
7122,10365,260640,36,7240,Client in debt,2020-01-04
6173,5724,232560,48,4845,Running Contract,2020-01-08
6142,5591,221880,60,3698,Running Contract,2020-01-21
5358,2018,38520,12,3210,Contract Finished,2020-01-21
6095,5358,68340,60,1139,Running Contract,2020-01-24
6878,9242,23184,12,1932,Contract Finished,2020-01-24
6554,7637,390096,48,8127,Running Contract,2020-01-29
6793,8931,186300,60,3105,Running Contract,2020-01-30
7286,11271,67320,36,1870,Running Contract,2020-01-31
6076,5269,117420,60,1957,Running Contract,2020-02-02
5134,825,53076,12,4423,Contract Finished,2020-02-02
5419,2246,415800,60,6930,Running Contract,2020-02-05
6255,6158,247920,48,5165,Client in debt,2020-02-08
5656,3353,146064,24,6086,Running Contract,2020-02-09
6934,9494,116832,12,9736,Contract Finished,2020-02-09
6028,5072,317520,60,5292,Running Contract,2020-02-09
6490,7262,73260,60,1221,Running Contract,2020-02-10
6415,6950,475680,48,9910,Running Contract,2020-02-12
7087,10215,44304,24,1846,Running Contract,2020-02-20
5420,2247,72504,24,3021,Running Contract,2020-02-24
5977,4803,59136,48,1232,Running Contract,2020-02-25
6824,9052,71976,24,2999,Client in debt,2020-02-26
5207,1244,35904,48,748,Running Contract,2020-02-28
7115,10351,88704,48,1848,Running Contract,2020-03-04
7250,11069,119136,48,2482,Running Contract,2020-03-04
6010,4969,150180,60,2503,Running Contract,2020-03-06
6088,5317,90180,36,2505,Running Contract,2020-03-07
5682,3455,67464,12,5622,Contract Finished,2020-03-07
7201,10807,67464,12,5622,Contract Finished,2020-03-07
6938,9504,341280,60,5688,Running Contract,2020-03-10
6875,9235,83280,48,1735,Running Contract,2020-03-13
5953,4715,97176,24,4049,Running Contract,2020-03-14
5942,4681,162624,48,3388,Running Contract,2020-03-15
5382,2134,22932,36,637,Running Contract,2020-03-17
6377,6792,17184,12,1432,Contract Finished,2020-03-17
5931,4618,66696,24,2779,Client in debt,2020-03-17
5992,4863,76080,12,6340,Contract Finished,2020-03-18
5790,4033,84288,48,1756,Running Contract,2020-03-20
6753,8688,67980,12,5665,Contract Finished,2020-03-20
6562,7674,94488,24,3937,Running Contract,2020-03-21
7046,10049,91632,12,7636,Contract Finished,2020-03-28
5868,4361,90156,12,7513,Contract Finished,2020-03-29
5784,3967,84600,36,2350,Client in debt,2020-03-29
5878,4415,74040,12,6170,Contract Finished,2020-04-01
5110,675,102240,60,1704,Running Contract,2020-04-01
5210,1252,148140,36,4115,Running Contract,2020-04-01
7230,10954,18720,60,312,Running Contract,2020-04-02
5005,176,27456,12,2288,Contract Finished,2020-04-10
6871,9225,164256,48,3422,Running Contract,2020-04-13
5363,2051,293880,60,4898,Client in debt,2020-04-22
7253,11079,98304,12,8192,Contract Finished,2020-04-26
6055,5181,399120,60,6652,Running Contract,2020-04-28
5072,472,196800,24,8200,Client in debt,2020-04-28
6913,9377,99936,24,4164,Running Contract,2020-04-29
6386,6856,124344,36,3454,Running Contract,2020-04-30
5634,3229,39024,12,3252,Contract Finished,2020-05-01
5758,3859,307200,60,5120,Client in debt,2020-05-02
6819,9031,50112,24,2088,Running Contract,2020-05-03
7088,10233,239160,60,3986,Running Contract,2020-05-03
5039,314,66840,24,2785,Running Contract,2020-05-03
5532,2754,335280,48,6985,Running Contract,2020-05-04
6037,5118,53232,48,1109,Running Contract,2020-05-04
6322,6510,76992,24,3208,Running Contract,2020-05-06
6887,9263,39576,12,3298,Contract Finished,2020-05-08
6660,8094,220428,36,6123,Running Contract,2020-05-09
5451,2350,159744,48,3328,Running Contract,2020-05-11
6014,4999,165168,36,4588,Running Contract,2020-05-18
5556,2872,268320,60,4472,Running Contract,2020-05-19
6346,6649,100260,60,1671,Running Contract,2020-05-22
5850,4293,164196,36,4561,Running Contract,2020-05-22
5940,4660,106944,24,4456,Running Contract,2020-05-28
7119,10361,86880,12,7240,Contract Finished,2020-06-02
5253,1447,100080,48,2085,Running Contract,2020-06-03
6851,9138,272220,60,4537,Client in debt,2020-06-03
6695,8320,309660,60,5161,Running Contract,2020-06-04
6908,9353,188616,24,7859,Running Contract,2020-06-08
7255,11096,213300,60,3555,Running Contract,2020-06-09
5674,3418,207264,48,4318,Running Contract,2020-06-10
6278,6265,87360,24,3640,Running Contract,2020-06-10
5486,2516,466608,48,9721,Running Contract,2020-06-13
5174,1093,385104,48,8023,Running Contract,2020-06-13
6621,7957,42900,12,3575,Contract Finished,2020-06-14
6313,6461,150912,36,4192,Running Contract,2020-06-15
6435,7045,288720,48,6015,Running Contract,2020-06-16
6970,9677,31620,60,527,Running Contract,2020-06-17
6310,6440,34572,12,2881,Contract Finished,2020-06-17
5932,4626,33348,12,2779,Contract Finished,2020-06-18
6877,9241,285240,60,4754,Running Contract,2020-06-19
6763,8772,88272,48,1839,Running Contract,2020-06-19
7085,10202,305424,48,6363,Running Contract,2020-06-19
7049,10063,233424,36,6484,Running Contract,2020-06-24
6959,9633,59448,24,2477,Client in debt,2020-06-30
5214,1270,74772,36,2077,Running Contract,2020-07-01
6350,6678,294384,48,6133,Running Contract,2020-07-09
5063,442,357840,48,7455,Client in debt,2020-07-10
5041,319,369000,60,6150,Running Contract,2020-07-11
5086,525,210384,48,4383,Running Contract,2020-07-16
6942,9513,18324,12,1527,Contract Finished,2020-07-16
5270,1528,191088,48,3981,Running Contract,2020-07-21
6705,8381,333648,48,6951,Client in debt,2020-07-25
7051,10068,77808,12,6484,Contract Finished,2020-07-28
6758,8742,33144,12,2762,Contract Finished,2020-07-29
6249,6138,67608,24,2817,Running Contract,2020-07-30
5808,4099,41856,48,872,Running Contract,2020-07-31
5377,2116,92400,12,7700,Contract Finished,2020-08-04
5446,2334,48312,24,2013,Running Contract,2020-08-04
5856,4320,51360,12,4280,Loan not payed,2020-08-09
4986,97,102876,12,8573,Contract Finished,2020-08-10
7001,9859,300600,60,5010,Running Contract,2020-08-10
6677,8169,97980,60,1633,Running Contract,2020-08-12
6665,8114,99300,60,1655,Running Contract,2020-08-15
5817,4127,100800,24,4200,Client in debt,2020-08-15
6984,9730,116040,60,1934,Running Contract,2020-08-15
6541,7565,153504,48,3198,Running Contract,2020-08-17
5117,718,76944,12,6412,Contract Finished,2020-08-20
6097,5362,202848,48,4226,Running Contract,2020-08-21
5389,2165,78600,24,3275,Running Contract,2020-08-22
7219,10905,57120,48,1190,Running Contract,2020-08-23
6338,6592,390660,60,6511,Running Contract,2020-08-24
6922,9424,83628,36,2323,Running Contract,2020-08-26
5367,2064,83628,36,2323,Running Contract,2020-08-26
5638,3249,68124,12,5677,Contract Finished,2020-08-27
5830,4190,405780,60,6763,Running Contract,2020-08-28
5338,1888,57360,12,4780,Loan not payed,2020-08-30
6007,4949,289920,48,6040,Running Contract,2020-08-30
6612,7907,97392,12,8116,Contract Finished,2020-08-31
5718,3637,14028,12,1169,Contract Finished,2020-09-01
6104,5395,158184,36,4394,Running Contract,2020-09-05
5229,1329,23520,12,1960,Contract Finished,2020-09-06
6625,7966,473280,60,7888,Client in debt,2020-09-07
5206,1242,128544,24,5356,Running Contract,2020-09-07
5963,4746,204780,60,3413,Running Contract,2020-09-07
4990,110,162576,36,4516,Running Contract,2020-09-08
6641,8026,128268,36,3563,Running Contract,2020-09-09
5369,2080,214596,36,5961,Running Contract,2020-09-12
6196,5837,177804,36,4939,Running Contract,2020-09-14
5236,1374,389136,48,8107,Running Contract,2020-09-15
5719,3664,271584,48,5658,Running Contract,2020-09-20
5643,3273,94512,12,7876,Loan not payed,2020-09-21
7050,10065,311232,48,6484,Running Contract,2020-09-23
6355,6699,127200,48,2650,Running Contract,2020-09-24
6688,8268,8616,24,359,Running Contract,2020-09-26
6239,6083,360864,48,7518,Client in debt,2020-09-28
5531,2753,66432,24,2768,Running Contract,2020-09-30
6113,5445,78696,36,2186,Running Contract,2020-10-01
7181,10679,197808,24,8242,Running Contract,2020-10-02
6118,5477,349392,48,7279,Running Contract,2020-10-04
7264,11141,44940,12,3745,Contract Finished,2020-10-07
5343,1906,44952,24,1873,Running Contract,2020-10-08
5051,378,230400,60,3840,Running Contract,2020-10-11
5779,3942,107352,36,2982,Running Contract,2020-10-14
6605,7890,79344,48,1653,Running Contract,2020-10-14
6655,8085,260400,60,4340,Client in debt,2020-10-17
6534,7542,590820,60,9847,Running Contract,2020-10-19
5681,3448,68664,24,2861,Running Contract,2020-10-20
6607,7894,153144,36,4254,Running Contract,2020-10-21
6242,6097,26208,36,728,Running Contract,2020-10-22
7242,11027,48096,24,2004,Running Contract,2020-10-23
7277,11231,89280,12,7440,Contract Finished,2020-10-24
6675,8158,238716,36,6631,Running Contract,2020-11-01
5398,2187,53472,12,4456,Contract Finished,2020-11-04
5956,4725,168264,36,4674,Running Contract,2020-11-04
5731,3711,460980,60,7683,Client in debt,2020-11-05
6956,9631,59448,24,2477,Running Contract,2020-11-09
6437,7052,63972,36,1777,Client in debt,2020-11-09
5447,2335,541200,60,9020,Client in debt,2020-11-12
5973,4784,219456,48,4572,Running Contract,2020-11-24
6075,5267,129312,24,5388,Client in debt,2020-11-26
5281,1580,194256,24,8094,Running Contract,2020-11-27
5103,666,12540,12,1045,Contract Finished,2020-11-28
6468,7176,203940,60,3399,Running Contract,2020-11-30
7209,10857,385560,60,6426,Client in debt,2020-11-30
5584,2986,24792,24,1033,Running Contract,2020-12-06
4988,103,265320,36,7370,Client in debt,2020-12-06
6502,7424,30276,12,2523,Contract Finished,2020-12-08
5651,3329,19248,12,1604,Contract Finished,2020-12-08
4962,25,30276,12,2523,Contract Finished,2020-12-08
5862,4342,100128,24,4172,Running Contract,2020-12-09
7199,10789,45768,12,3814,Contract Finished,2020-12-09
6727,8505,42840,12,3570,Contract Finished,2020-12-10
7279,11244,155760,24,6490,Running Contract,2020-12-11
